date,sub,FLOW,FLOW_lag1,FLOW_lag2,FLOW_lag3,TN,TN_lag1,TN_lag2,TN_lag3,TP,TP_lag1,TP_lag2,TP_lag3,PCP,PCP_lag1,PCP_lag2,PCP_lag3,wt,chl,Green,Red,Blue_Green,Red_NIR
2019-01-08,29,0.696,0.731,0.786,0.872,0.04173983610046828,0.044016314536150375,0.046384648006785406,0.04924290689772341,0.00035088069391230313,0.0003530805086892638,0.00035340684195646024,0.0003397893306150187,0.0,0.0,0.0,0.0,4.5,7.0,0.0655237775647171,0.0656861617130073,0.852940547440413,0.938016584048556
2019-01-14,29,0.636,0.639,0.644,0.651,0.034758618681574656,0.036768967715759576,0.04079681389463998,0.03964698185128292,0.0003730637083624505,0.0003731235147510578,0.0003720238095238095,0.0003698014450702622,0.0,0.0,0.0,0.0,6.0,10.2,0.0862732652133801,0.0872019542378279,0.8023628325787645,0.923583760581977
2019-01-23,29,0.617,0.618,0.62,0.621,0.029263461192148385,0.030152523073235047,0.02744175627240143,0.028329456670841534,0.00038267603097424816,0.00038205681409564905,0.0003752240143369175,0.0003802111290033995,0.0,0.0,0.0,0.0,5.3,10.4,0.0623659939567429,0.0630989404862877,0.7802492375041414,0.9268516576797904
2019-01-28,29,0.61,0.611,0.613,0.614,0.02504553734061931,0.023110262471964595,0.023601292973234246,0.02525937990107371,0.0003851700060716454,0.00036180820755288837,0.000362515860068878,0.000380775726866932,0.0,0.0,0.0,0.0,5.8,6.7,0.0836486243683323,0.0840554884896125,0.918565325495867,0.911388199689569
2019-02-07,29,5.33,6.64,7.87,8.88,0.5884754360364116,3.5558902275769744,1.2794719751517718,2.437333166499833,0.008251685080953372,0.03677906068719322,0.20148006965033646,0.6412662662662661,0.0,0.0,0.0,0.0,7.6,9.9,0.0812690553435114,0.0878505295801526,0.7097225141817856,0.889525034796617
2019-02-18,29,0.705,0.746,0.803,0.883,0.057624113475177305,0.06811016780855922,0.07278838614455051,0.0866417096598297,0.0005598240084055687,0.0018307516631913413,0.00033871823255384896,0.0003617717377626777,0.0,0.0,0.0,0.0,6.4,10.0,0.0928834565727699,0.0989153491784037,0.6286511390914805,0.9185488520008844
2019-03-12,29,0.656,0.632,0.64,0.659,8.486478093947605,2.362429676511955,0.060221354166666664,0.06515905131231382,0.01697295618789521,0.034429207688701356,0.00039605034722222217,0.0003916568313381667,0.5,0.0,0.0,0.0,10.0,35.4,0.0821875872600349,0.0885005671902268,0.857776498304205,0.864473676794037
2019-03-27,29,5.77,7.67,9.84,11.9,0.7762853841709993,0.8450432179245738,0.9386291779584462,1.0212418300653594,0.0011634251235637717,0.002338958906755517,0.004846055404998494,0.010212418300653593,0.0,0.0,0.0,0.0,13.8,26.0,0.0829775828186411,0.0889896125772038,0.788846171552407,0.898278696825517
2019-04-02,29,2.03,2.37,2.69,3.0,0.5986590038314177,0.6983513048913892,1.264973151590252,4.050925925925926,0.001265736179529283,0.0039654633536490074,0.028354330166597823,0.1481481481481481,0.0,0.0,0.0,2.5,10.8,29.9,0.0691139433551198,0.0709396151053013,0.826459868736499,0.830974667150867
2019-04-08,29,0.864,0.957,1.08,1.22,0.20897633744855965,0.24309183791942415,0.27327674897119336,0.32824833029751066,0.0003777649176954732,0.00037008011145942183,0.0003568672839506173,0.0003462735276259866,0.0,0.0,0.0,0.0,15.1,35.2,0.0911048708590679,0.096469792251544,0.891327543910114,0.831515910504748
2019-05-21,29,4.01,3.46,2.31,1.45,1.148748499122564,3.679618925283665,4.434223184223184,4.1028097062579825,0.013536759951971924,0.05385624063369728,0.09018759018759018,0.21312260536398467,0.0,9.0,2.5,17.5,19.8,30.4,0.0862619147582696,0.0911957856234096,0.68290929709994,0.787001675890021
2019-06-12,29,39.8,48.5,55.2,55.6,0.27684719895775173,0.2815960290187094,2.5999731615673642,1.286470823341327,0.0053508282151498235,0.017921916762122944,0.10190217391304346,0.11220190514255263,0.0,0.0,7.0,10.0,23.0,115.0,0.089673139312977,0.0920749809160305,0.65210692376734,0.7109086202217081
2019-06-24,29,4.49,5.03,5.47,6.03,0.8068341169677472,0.8904903909874088,0.8463673911571535,0.7984767520422578,0.002062195826115648,0.0019443524040939546,0.0019445290811835603,0.002591210613598673,0.0,0.0,0.0,0.0,26.6,324.3,0.0947949968193384,0.0905248695928753,0.626678654253592,0.473284455133606
2019-08-13,29,27.7,31.6,29.5,35.3,0.7228573338681641,2.329465541490858,0.31936597614563716,0.30590966320428076,0.019304051343762535,0.09962494139709328,0.0036762397991211546,0.010623229461756372,0.0,11.0,1.5,0.0,29.5,87.3,0.0908188938798427,0.0866088714205502,0.817466591697507,0.932954364438554
2019-08-26,29,10.0,12.4,15.4,18.9,0.6180555555555556,0.5329674432497012,0.4607082732082731,0.509504213207917,0.00125,0.0024828255675029866,0.0053962241462241455,0.023760533019792276,0.0,0.0,0.0,0.0,27.3,103.9,0.0729748736664794,0.0703156232453677,0.833306999625383,0.818608779890613
2019-09-09,29,30.2,34.4,40.6,43.6,2.9318432671081673,1.2818959948320414,2.0610974274767377,0.41942745497791367,0.04905567819475104,0.0034991386735572787,0.018672459405218025,0.03424439347604485,8.0,1.0,2.0,1.0,25.5,19.2,0.0665984701017811,0.0618090966921119,0.564162321573943,0.616191493401388
2019-09-18,29,8.85,10.7,13.0,15.9,0.7114459091860222,0.6252163378331602,0.5341880341880342,0.45349988353133,0.001018780079514543,0.0014170128071997231,0.0020655270655270653,0.0025768693221523407,0.0,0.0,0.0,0.0,26.1,147.8,0.071870300572519,0.0753760432569974,0.663843151378122,0.6766197509836955
2019-09-30,29,23.3,31.4,42.8,57.9,0.3685821014147194,0.31810273649445625,0.30557718933887157,0.3038444316509947,0.0005017087903353998,0.0005086694975230007,0.0009059146763586016,0.001495234439966737,0.0,0.0,0.0,0.0,23.6,19.1,0.0849689640651319,0.082538840539023,0.827219252127355,0.814442496250186
2019-10-10,29,42.8,56.3,72.5,90.8,0.3488447559709242,0.3597625156239721,0.41347381864623245,2.8552781856746616,0.001030308930425753,0.0016692980724952306,0.0066570881226053645,0.05889011257953989,0.0,0.0,0.0,8.0,18.2,4.6,0.0743056075063613,0.0739244561068702,0.634800085159673,0.756026054434993
2019-10-15,29,11.6,14.4,18.5,24.3,0.5527618135376756,0.4951131687242798,0.4379379379379379,0.3862787684804146,0.0007433349297573435,0.0006566679526748971,0.0005686936936936936,0.0004739178478890413,0.0,0.0,0.0,0.0,17.8,7.8,0.0743056075063613,0.0739244561068702,0.634800085159673,0.756026054434993
2019-10-28,29,3.23,3.72,4.19,4.34,0.7954936360509116,0.8151632815611309,1.0413904357818438,0.9947303294077487,0.0007381607613805755,0.0007716049382716049,0.0014557367630159991,0.0012187446663253115,0.0,0.0,0.0,0.0,16.1,23.2,0.0730012352610892,0.0738495367770915,0.814491382901684,0.865201490067855
2019-11-06,29,2.19,2.23,2.29,2.36,0.8403094875697615,0.8304268393954493,0.8086689309396732,0.7895872567482737,0.0007874598342634872,0.0007421939877096827,0.0006924227721170952,0.0006816933458882612,0.0,0.0,0.0,0.0,11.4,99.4,0.0634402279944413,0.0650415126679981,0.8195463961507029,0.769335280426041
2019-11-12,29,14.1,12.4,7.73,2.11,0.48102180194378774,2.958856033452807,2.6052896363375013,0.8666842197647885,0.013051615445232466,0.08568548387096774,0.19614536917253603,0.0008502281902755837,0.0,1.0,15.5,0.0,12.6,82.9,0.0604666270985246,0.0619046633881634,0.830212702129743,0.81028817583055
2019-11-18,29,153.0,139.0,18.0,17.5,2.874606632776567,1.781907807087663,1.2602880658436213,2.943121693121693,0.19290123456790123,1.2739808153477217,0.014467592592592593,0.10515873015873016,9.5,78.5,0.5,0.0,11.1,51.6,0.0567484354599406,0.051923943175074,0.5961201444835604,2.042087164153275
2019-11-27,29,18.1,23.7,31.5,42.4,0.4840648659709433,0.4238943584935146,0.4004997060552616,2.336652690426275,0.004520922856558215,0.0052254258477887165,0.0066137566137566125,0.025604909154437454,0.0,0.0,0.0,2.0,11.3,3.7,0.0767899775407074,0.0742147810218978,0.860725522784914,1.12759658344113
2019-12-03,29,10.2,10.8,11.0,9.44,1.8495824255628177,0.940929355281207,2.72516835016835,0.6829194130571249,0.007761437908496732,0.018325617283950615,0.11784511784511784,0.005750255021971124,0.0,0.0,6.5,0.0,7.9,5.2,0.0584468978102189,0.0577756035934868,0.898623428101448,0.887451630821996
